Description/Owner,RPC Program Number,Short Name,Reference
localhad,100130,rpc.localhad,[RFC5531]
layers2,100131,na.layers2,[RFC5531]
token ring agent,100132,na.tr,[RFC5531]
related to lockd and statd,100133,nsm_addr,[RFC5531]
Kerberos project,100134,kwarn,[RFC5531]
ertherif2,100135,na.etherif2,[RFC5531]
hostmem2,100136,na.hostmem2,[RFC5531]
iostat2,100137,na.iostat2,[RFC5531]
snmpv2,100138,na.snmpv2,[RFC5531]
Cooperative Console,100139,cc_sender,[RFC5531]
na.cpustat,100140,na.cpustat,[RFC5531]
Sun Cluster SC3.0,100141,rgmd_receptionist,[RFC5531]
,100142,fed,[RFC5531]
Network Storage,100143,rdc,[RFC5531]
Sun Cluster products,100144,nafo,[RFC5531]
SunCluster 3.0,100145,scadmd,[RFC5531]
ASN.1,100146,amiserv,[RFC5531]
,100147,amiaux # BER and DERencode and decode,[RFC5531]
Delegate Management Server,100148,dm,[RFC5531]
,100149,rkstat,[RFC5531]
,100150,ocfserv,[RFC5531]
,100151,sccheckd,[RFC5531]
,100152,autoclientd,[RFC5531]
,100153,sunvts,[RFC5531]
,100154,ssmond,[RFC5531]
,100155,smserverd,[RFC5531]
,100156,test1,[RFC5531]
,100157,test2,[RFC5531]
,100158,test3,[RFC5531]
,100159,test4,[RFC5531]
,100160,test5,[RFC5531]
,100161,test6,[RFC5531]
,100162,test7,[RFC5531]
,100163,test8,[RFC5531]
,100164,test9,[RFC5531]
,100165,test10,[RFC5531]
,100166,nfsmapid,[RFC5531]
,100167,SUN_WBEM_C_CIMON_HANDLE,[RFC5531]
,100168,sacmmd,[RFC5531]
,100169,fmd_adm,[RFC5531]
,100170,fmd_api,[RFC5531]
,100171,[unknown],[RFC5531]
,100172,idmapd,[RFC5531]
Unassigned,100173 - 100174,,[RFC5531]
snmptrap,100175,na.snmptrap,[RFC5531]
Unassigned,100176-100199,,[RFC5531]
Unassigned,100200,,[RFC5531]
MVS/NFS Memory usage stats server,100201,[unknown],[RFC5531]
Netapp,100202-100207,,[RFC5531]
Unassigned,100208-100210,,[RFC5531]
8.0 SunLink SNA RJE,100211,[unknown],[RFC5531]
8.0 SunLink SNA RJE,100212,[unknown],[RFC5531]
,100213,ShowMe,[RFC5531]
,100214,[unknown],[RFC5531]
,100215,[unknown],[RFC5531]
AUTH_RSA Key service,100216,keyrsa,[RFC5531]
SunSelect PC license service,100217,[unknown],[RFC5531]
WWCS (Corporate),100218,sunsolve,[RFC5531]
,100219,cstatd,[RFC5531]
X/Open Federated Naming,100220,xfn_server_prog,[RFC5531]
Kodak Color Management System,100221,kcs_network_io kcs,[RFC5531]
HA-DBMS,100222,ha_dbms_serv,[RFC5531]
,100223-100225,[unknown],[RFC5531]
,100226,hafaultd,[RFC5531]
NFS ACL Service,100227,nfs_acl,[RFC5531]
distributed lock manager,100228,dlmd,[RFC5531]
,100229,metad,[RFC5531]
,100230,metamhd,[RFC5531]
,100231,nfsauth,[RFC5531]
,100232,sadmind,[RFC5531]
,100233,ufsd,[RFC5531]
,100234,grpservd,[RFC5531]
,100235,cachefsd,[RFC5531]
,100236,msmprog Media_Server,[RFC5531]
,100237,ihnamed,[RFC5531]
,100238,ihnetd,[RFC5531]
,100239,ihsecured,[RFC5531]
,100240,ihclassmgrd,[RFC5531]
,100241,ihrepositoryd,[RFC5531]
,100242,metamedd rpc.metamedd,[RFC5531]
,100243,contentmanager cm,[RFC5531]
,100244,symon,[RFC5531]
,100245,pld genesil,[RFC5531]
,100246,ctidcluster_transport_interface,[RFC5531]
,100247,ccdcluster_configuration_db,[RFC5531]
,100248,pmfd,[RFC5531]
,100249,dmi2_client,[RFC5531]
,100250,mfs_admin,[RFC5531]
,100251,ndshared_unlink,[RFC5531]
,100252,ndshared_touch,[RFC5531]
,100253,ndshared_slink,[RFC5531]
,100254,cbs control_board_server,[RFC5531]
,100255,skiserv,[RFC5531]
,100256,nfsxa nfsxattr,[RFC5531]
,100257,ndshared_disable,[RFC5531]
,100258,ndshared_enable,[RFC5531]
,100259,sms_account_admin,[RFC5531]
,100260,sms_modem_admin,[RFC5531]
,100261,sms_r_login,[RFC5531]
,100262,sms_r_subaccount_mgt,[RFC5531]
,100263,sms_service_admin,[RFC5531]
,100264,session_admin,[RFC5531]
,100265,canci_ancs_program,[RFC5531]
,100266,canci_sms_program,[RFC5531]
,100267,msmp,[RFC5531]
,100268,halck,[RFC5531]
,100269,halogmsg,[RFC5531]
,100270,nfs_id_map,[RFC5531]
,100271,ncall,[RFC5531]
,100272,hmip,[RFC5531]
,100273,repl_mig,[RFC5531]
,100274,repl_mig_cb,[RFC5531]
NIS+,100300,nisplus,[RFC5531]
NIS+,100301,nis_cachemgr,[RFC5531]
NIS+ call back protocol,100302,[unknown],[RFC5531]
NIS+ Password Update Daemon,100303,nispasswdd,[RFC5531]
FNS context update in NIS,100304,fnsypd,[RFC5531]
,100305,[unknown],[RFC5531]
,100306,[unknown],[RFC5531]
,100307,[unknown],[RFC5531]
,100308,[unknown],[RFC5531]
,100309,[unknown],[RFC5531]
Unassigned,100310 - 100398,,[RFC5531]
nfscksum,100399,nfscksum,[RFC5531]
network utilization agent,100400,netmgt_netu_prog,[RFC5531]
network rpc ping agent,100401,netmgt_rping_prog,[RFC5531]
,100402,na.shell,[RFC5531]
picsprint,100403,na.picslp,[RFC5531]
,100404,traps,[RFC5531]
,100405 - 100409,[unknown],[RFC5531]
,100410,jdsagent,[RFC5531]
,100411,na.haconfig,[RFC5531]
,100412,na.halhost,[RFC5531]
,100413,na.hadtsrvc,[RFC5531]
,100414,na.hamdstat,[RFC5531]
,100415,na.neoadmin,[RFC5531]
,100416,ex1048prog,[RFC5531]
rdmaconfig,100417,rpc.rdmaconfig,[RFC5666]
FedFS Administration,100418,fedfs_admin,[RFC7533]
IETF NFSv4 Working Group - FedFS,100419 - 100421,,[RFC5531]
,100422,mdcommd,[RFC5531]
,100423,kiprop krb5_iprop,[RFC5531]
,100424,stsf,[RFC5531]
Unassigned,100425 - 100499,,[RFC5531]
Sun Microsystems,100500 - 100531,[unknown],[RFC5531]
,100532,ucmmstate,[RFC5531]
,100533,scrcmd,[RFC5531]
Unassigned,100534 - 100999,,[RFC5531]
nse link daemon,101002,nselinktool,[RFC5531]
nse link application,101003,nselinkapp,[RFC5531]
Unassigned,101004 - 101900,,[RFC5531]
,101901,[unknown],[RFC5531]
Unassigned,101902 - 101999,,[RFC5531]
AssetLite,102000,[unknown],[RFC5531]
PagerTool,102001,[unknown],[RFC5531]
Discover,102002,[unknown],[RFC5531]
Unassigned,102003 - 105000,,[RFC5531]
ShowMe,105001,sharedapp,[RFC5531]
Registry,105002,REGISTRY_PROG,[RFC5531]
Print-server,105003,print-server,[RFC5531]
Proto-server,105004,proto-server,[RFC5531]
Notification-server,105005,notification-server,[RFC5531]
Transfer-agent-server,105006,transfer-agent-server,[RFC5531]
Unassigned,105007 - 110000,,[RFC5531]
,110001,tsolrpcb,[RFC5531]
,110002,tsolpeerinfo,[RFC5531]
,110003,tsolboot,[RFC5531]
,120001,cmip na.cmip,[RFC5531]
,120002,na.osidiscover,[RFC5531]
,120003,cmiptrap,[RFC5531]
